Latitude,Longitude,Fecha,Fallecidos,CCAA
41.80371720,-4.7471726,7,0,Castilla y León
39.41779020,-2.6232332,7,0,Castilla La Mancha
41.85230940,1.5745043,7,0,Cataluña
39.68195910,-0.7654406,7,0,C. Valenciana
39.17484260,-6.1529891,7,0,Extremadura
42.61946000,-7.8631120,7,0,Galicia
40.41670470,-3.7035825,7,0,Madrid
37.99237950,-1.1305431,7,0,Murcia
42.61254875,-1.8307877,7,0,Navarra
42.99118160,-2.5543023,7,0,País Vasco
42.28146420,-2.4828050,7,0,La Rioja
35.89442195,-5.3558174,7,0,Ceuta
35.29291145,-2.9507202,7,0,Melilla
37.33999640,-4.5811614,8,0,Andalucía
41.37872910,-0.7639373,8,0,Aragón
43.31338680,-5.9419200,8,0,Asturias
39.61343200,2.8829185,8,0,Baleares
28.29357850,-16.6214471,8,0,Canarias
43.15956640,-4.0878382,8,0,Cantabria
41.80371720,-4.7471726,8,0,Castilla y León
39.41779020,-2.6232332,8,0,Castilla La Mancha
41.85230940,1.5745043,8,0,Cataluña
39.68195910,-0.7654406,8,0,C. Valenciana
39.17484260,-6.1529891,8,0,Extremadura
42.61946000,-7.8631120,8,0,Galicia
40.41670470,-3.7035825,8,0,Madrid
37.99237950,-1.1305431,8,0,Murcia
42.61254875,-1.8307877,8,0,Navarra
42.99118160,-2.5543023,8,0,País Vasco
42.28146420,-2.4828050,8,0,La Rioja
35.89442195,-5.3558174,8,0,Ceuta
35.29291145,-2.9507202,8,0,Melilla
37.33999640,-4.5811614,9,0,Andalucía
41.37872910,-0.7639373,9,0,Aragón
43.31338680,-5.9419200,9,0,Asturias
39.61343200,2.8829185,9,0,Baleares
28.29357850,-16.6214471,9,0,Canarias
43.15956640,-4.0878382,9,0,Cantabria
41.80371720,-4.7471726,9,0,Castilla y León
39.41779020,-2.6232332,9,0,Castilla La Mancha
41.85230940,1.5745043,9,0,Cataluña
39.68195910,-0.7654406,9,0,C. Valenciana
39.17484260,-6.1529891,9,0,Extremadura
42.61946000,-7.8631120,9,0,Galicia
40.41670470,-3.7035825,9,0,Madrid
37.99237950,-1.1305431,9,0,Murcia
42.61254875,-1.8307877,9,0,Navarra
42.99118160,-2.5543023,9,0,País Vasco
42.28146420,-2.4828050,9,0,La Rioja
35.89442195,-5.3558174,9,0,Ceuta
35.29291145,-2.9507202,9,0,Melilla
37.33999640,-4.5811614,10,0,Andalucía
41.37872910,-0.7639373,10,0,Aragón
43.31338680,-5.9419200,10,0,Asturias
39.61343200,2.8829185,10,0,Baleares
28.29357850,-16.6214471,10,0,Canarias
43.15956640,-4.0878382,10,0,Cantabria
41.80371720,-4.7471726,10,0,Castilla y León
39.41779020,-2.6232332,10,0,Castilla La Mancha
41.85230940,1.5745043,10,0,Cataluña
39.68195910,-0.7654406,10,0,C. Valenciana
39.17484260,-6.1529891,10,0,Extremadura
42.61946000,-7.8631120,10,0,Galicia
40.41670470,-3.7035825,10,0,Madrid
37.99237950,-1.1305431,10,0,Murcia
42.61254875,-1.8307877,10,0,Navarra
42.99118160,-2.5543023,10,0,País Vasco
42.28146420,-2.4828050,10,0,La Rioja
35.89442195,-5.3558174,10,0,Ceuta
35.29291145,-2.9507202,10,0,Melilla
37.33999640,-4.5811614,11,0,Andalucía
41.37872910,-0.7639373,11,0,Aragón
43.31338680,-5.9419200,11,0,Asturias
39.61343200,2.8829185,11,0,Baleares
28.29357850,-16.6214471,11,0,Canarias
43.15956640,-4.0878382,11,0,Cantabria
41.80371720,-4.7471726,11,0,Castilla y León
39.41779020,-2.6232332,11,0,Castilla La Mancha
41.85230940,1.5745043,11,0,Cataluña
39.68195910,-0.7654406,11,0,C. Valenciana
39.17484260,-6.1529891,11,0,Extremadura
42.61946000,-7.8631120,11,0,Galicia
40.41670470,-3.7035825,11,0,Madrid
37.99237950,-1.1305431,11,0,Murcia
42.61254875,-1.8307877,11,0,Navarra
42.99118160,-2.5543023,11,0,País Vasco
42.28146420,-2.4828050,11,0,La Rioja
35.89442195,-5.3558174,11,0,Ceuta
35.29291145,-2.9507202,11,0,Melilla
37.33999640,-4.5811614,12,0,Andalucía
41.37872910,-0.7639373,12,0,Aragón
43.31338680,-5.9419200,12,0,Asturias
39.61343200,2.8829185,12,0,Baleares
28.29357850,-16.6214471,12,0,Canarias
43.15956640,-4.0878382,12,0,Cantabria
41.80371720,-4.7471726,12,0,Castilla y León
39.41779020,-2.6232332,12,0,Castilla La Mancha
41.85230940,1.5745043,12,0,Cataluña
39.68195910,-0.7654406,12,0,C. Valenciana
39.17484260,-6.1529891,12,0,Extremadura
42.61946000,-7.8631120,12,0,Galicia
40.41670470,-3.7035825,12,0,Madrid
37.99237950,-1.1305431,12,0,Murcia
42.61254875,-1.8307877,12,0,Navarra
42.99118160,-2.5543023,12,0,País Vasco
42.28146420,-2.4828050,12,0,La Rioja
35.89442195,-5.3558174,12,0,Ceuta
35.29291145,-2.9507202,12,0,Melilla
37.33999640,-4.5811614,13,0,Andalucía
41.37872910,-0.7639373,13,0,Aragón
43.31338680,-5.9419200,13,0,Asturias
39.61343200,2.8829185,13,0,Baleares
28.29357850,-16.6214471,13,0,Canarias
43.15956640,-4.0878382,13,0,Cantabria
41.80371720,-4.7471726,13,0,Castilla y León
39.41779020,-2.6232332,13,0,Castilla La Mancha
41.85230940,1.5745043,13,0,Cataluña
39.68195910,-0.7654406,13,0,C. Valenciana
39.17484260,-6.1529891,13,0,Extremadura
42.61946000,-7.8631120,13,0,Galicia
40.41670470,-3.7035825,13,0,Madrid
37.99237950,-1.1305431,13,0,Murcia
42.61254875,-1.8307877,13,0,Navarra
42.99118160,-2.5543023,13,0,País Vasco
42.28146420,-2.4828050,13,0,La Rioja
35.89442195,-5.3558174,13,0,Ceuta
35.29291145,-2.9507202,13,0,Melilla
37.33999640,-4.5811614,14,0,Andalucía
41.37872910,-0.7639373,14,0,Aragón
43.31338680,-5.9419200,14,0,Asturias
39.61343200,2.8829185,14,0,Baleares
28.29357850,-16.6214471,14,0,Canarias
43.15956640,-4.0878382,14,0,Cantabria
41.80371720,-4.7471726,14,0,Castilla y León
39.41779020,-2.6232332,14,0,Castilla La Mancha
41.85230940,1.5745043,14,0,Cataluña
39.68195910,-0.7654406,14,0,C. Valenciana
39.17484260,-6.1529891,14,0,Extremadura
42.61946000,-7.8631120,14,0,Galicia
40.41670470,-3.7035825,14,0,Madrid
37.99237950,-1.1305431,14,0,Murcia
42.61254875,-1.8307877,14,0,Navarra
42.99118160,-2.5543023,14,0,País Vasco
42.28146420,-2.4828050,14,0,La Rioja
35.89442195,-5.3558174,14,0,Ceuta
35.29291145,-2.9507202,14,0,Melilla
37.33999640,-4.5811614,15,0,Andalucía
41.37872910,-0.7639373,15,0,Aragón
43.31338680,-5.9419200,15,0,Asturias
39.61343200,2.8829185,15,0,Baleares
28.29357850,-16.6214471,15,0,Canarias
43.15956640,-4.0878382,15,0,Cantabria
41.80371720,-4.7471726,15,0,Castilla y León
39.41779020,-2.6232332,15,0,Castilla La Mancha
41.85230940,1.5745043,15,0,Cataluña
39.68195910,-0.7654406,15,0,C. Valenciana
39.17484260,-6.1529891,15,0,Extremadura
42.61946000,-7.8631120,15,0,Galicia
40.41670470,-3.7035825,15,0,Madrid
37.99237950,-1.1305431,15,0,Murcia
42.61254875,-1.8307877,15,0,Navarra
42.99118160,-2.5543023,15,0,País Vasco
42.28146420,-2.4828050,15,0,La Rioja
35.89442195,-5.3558174,15,0,Ceuta
35.29291145,-2.9507202,15,0,Melilla
37.33999640,-4.5811614,16,0,Andalucía
41.37872910,-0.7639373,16,0,Aragón
43.31338680,-5.9419200,16,0,Asturias
39.61343200,2.8829185,16,0,Baleares
28.29357850,-16.6214471,16,0,Canarias
43.15956640,-4.0878382,16,0,Cantabria
41.80371720,-4.7471726,16,0,Castilla y León
39.41779020,-2.6232332,16,0,Castilla La Mancha
41.85230940,1.5745043,16,0,Cataluña
39.68195910,-0.7654406,16,0,C. Valenciana
39.17484260,-6.1529891,16,0,Extremadura
42.61946000,-7.8631120,16,0,Galicia
40.41670470,-3.7035825,16,0,Madrid
37.99237950,-1.1305431,16,0,Murcia
42.61254875,-1.8307877,16,0,Navarra
42.99118160,-2.5543023,16,0,País Vasco
42.28146420,-2.4828050,16,0,La Rioja
35.89442195,-5.3558174,16,0,Ceuta
35.29291145,-2.9507202,16,0,Melilla
37.33999640,-4.5811614,17,0,Andalucía
41.37872910,-0.7639373,17,0,Aragón
43.31338680,-5.9419200,17,0,Asturias
39.61343200,2.8829185,17,0,Baleares
28.29357850,-16.6214471,17,0,Canarias
43.15956640,-4.0878382,17,0,Cantabria
41.80371720,-4.7471726,17,0,Castilla y León
39.41779020,-2.6232332,17,0,Castilla La Mancha
41.85230940,1.5745043,17,0,Cataluña
39.68195910,-0.7654406,17,0,C. Valenciana
39.17484260,-6.1529891,17,0,Extremadura
42.61946000,-7.8631120,17,0,Galicia
40.41670470,-3.7035825,17,0,Madrid
37.99237950,-1.1305431,17,0,Murcia
42.61254875,-1.8307877,17,0,Navarra
42.99118160,-2.5543023,17,0,País Vasco
42.28146420,-2.4828050,17,0,La Rioja
35.89442195,-5.3558174,17,0,Ceuta
35.29291145,-2.9507202,17,0,Melilla
37.33999640,-4.5811614,18,0,Andalucía
41.37872910,-0.7639373,18,0,Aragón
43.31338680,-5.9419200,18,0,Asturias
39.61343200,2.8829185,18,0,Baleares
28.29357850,-16.6214471,18,0,Canarias
43.15956640,-4.0878382,18,0,Cantabria
41.80371720,-4.7471726,18,0,Castilla y León
39.41779020,-2.6232332,18,0,Castilla La Mancha
41.85230940,1.5745043,18,0,Cataluña
39.68195910,-0.7654406,18,0,C. Valenciana
39.17484260,-6.1529891,18,0,Extremadura
42.61946000,-7.8631120,18,0,Galicia
40.41670470,-3.7035825,18,0,Madrid
37.99237950,-1.1305431,18,0,Murcia
42.61254875,-1.8307877,18,0,Navarra
42.99118160,-2.5543023,18,0,País Vasco
42.28146420,-2.4828050,18,0,La Rioja
35.89442195,-5.3558174,18,0,Ceuta
35.29291145,-2.9507202,18,0,Melilla
37.33999640,-4.5811614,19,0,Andalucía
41.37872910,-0.7639373,19,0,Aragón
43.31338680,-5.9419200,19,0,Asturias
39.61343200,2.8829185,19,0,Baleares
28.29357850,-16.6214471,19,0,Canarias
43.15956640,-4.0878382,19,0,Cantabria
41.80371720,-4.7471726,19,0,Castilla y León
39.41779020,-2.6232332,19,0,Castilla La Mancha
